10-11 -1.104614e-01 8.012234e-02 -6.956555e-02 -1.209230e-01
10-11 -1.075731e-01 8.088812e-02 -5.929229e-02 -9.117012e-02
10-11 -9.786592e-02 8.271034e-02 -6.392123e-02 -3.029351e-02
10-11 -9.539440e-02 7.871080e-02 -7.251265e-02 -1.322640e-01
10-11 -3.022021e-02 7.518706e-02 5.002069e-02 -2.134607e-01
10-11 -6.680370e-02 7.313981e-02 -2.141772e-01 -9.952895e-02
10-11 -3.092992e-02 7.344796e-02 -1.025115e-01 -7.997725e-02
10-11 -3.302555e-02 6.713180e-02 -1.443024e-02 -6.417471e-02
10-11 -2.272368e-02 6.908699e-02 -9.469060e-02 -1.798142e-02
10-11 -3.516845e-02 7.081293e-02 -1.013519e-01 -2.874248e-02
10-11 -1.016751e-01 6.872014e-02 -8.218664e-02 -6.105474e-02
10-11 -9.906465e-02 6.418550e-02 -9.509861e-02 -1.032666e-01
10-11 -9.363742e-02 7.106701e-02 -1.711792e-01 -1.157891e-01
10-11 -9.178753e-02 7.004626e-02 -1.810584e-01 -1.380415e-01
10-11 -9.566992e-02 6.688802e-02 -1.824707e-01 -1.843647e-01
10-11 -9.747011e-02 6.396405e-02 -1.234529e-01 -1.431205e-01
10-11 -8.320983e-02 6.948074e-02 -3.104418e-02 -1.508325e-01
10-11 -5.299409e-02 7.014459e-02 -1.277070e-02 -1.966456e-01
10-11 -6.187790e-02 7.206237e-02 -6.071471e-02 -1.012683e-01
10-11 -5.139052e-02 7.172851e-02 1.379065e-02 -4.467394e-02
10-11 -2.290971e-02 6.661976e-02 1.813612e-01 1.300109e-03
10-11 -8.901308e-02 6.406774e-02 1.510225e-02 1.935155e-02
10-11 -8.797818e-02 6.378654e-02 -4.995748e-02 1.764138e-02
10-11 -8.070834e-02 6.294018e-02 6.221783e-02 1.806137e-02
10-11 -9.158303e-02 6.012117e-02 2.348407e-02 2.729194e-02
10-11 -9.180397e-02 6.082230e-02 -6.109136e-02 3.105226e-02
10-11 -8.860655e-02 6.178103e-02 -3.003524e-02 -5.364414e-02
10-11 -7.631636e-02 6.008752e-02 3.566459e-02 -4.880371e-02
10-11 -7.593254e-02 6.034024e-02 5.846741e-02 1.539717e-01
10-11 -7.666075e-02 6.092107e-02 5.760771e-02 1.108483e-01
10-11 -6.078925e-02 5.793144e-02 1.499330e-01 -1.363089e-02
10-11 -5.547591e-02 5.775945e-02 1.968156e-02 9.257608e-02
10-11 -6.256034e-02 5.807878e-02 -3.254316e-02 1.164681e-01
10-11 -4.679986e-02 5.394435e-02 5.371245e-02 -3.593201e-02
10-11 -6.228826e-02 5.225525e-02 1.395821e-01 1.004552e-01
10-11 -7.095826e-02 5.805340e-02 9.513085e-02 2.836489e-01
10-11 -6.982532e-02 6.290115e-02 1.182827e-01 1.581528e-01
10-11 -7.262254e-02 5.976461e-02 1.343148e-01 -2.798202e-02
10-11 -8.593416e-02 5.613693e-02 -4.691709e-02 9.235611e-02
10-11 -8.580765e-02 5.539913e-02 -4.806748e-02 1.328587e-01
10-11 -8.394198e-02 5.234373e-02 6.422950e-02 -1.694094e-02
10-11 -9.449970e-02 5.032761e-02 1.290038e-01 6.873332e-02
10-11 -9.643005e-02 5.173226e-02 3.671702e-02 1.009153e-01
10-11 -9.856519e-02 5.866676e-02 -3.152624e-02 -2.313162e-02
10-11 -1.015119e-01 6.242316e-02 3.018631e-02 -3.353263e-02
10-11 -1.089790e-01 6.881127e-02 1.220993e-01 9.213869e-02
10-11 -1.103660e-01 7.449424e-02 9.718402e-02 7.941857e-02
10-11 -1.597512e-02 7.527903e-02 1.031909e-01 1.808195e-02
10-11 -1.014273e-01 7.278472e-02 -2.772579e-02 -1.899193e-02
10-11 -1.155652e-01 7.242288e-02 4.441123e-03 -6.233644e-02
10-11 -1.168252e-01 7.103091e-02 -1.913497e-02 -2.935291e-02
10-11 -9.439100e-02 6.365891e-02 2.795421e-02 8.256691e-02
10-11 -1.160508e-01 5.988499e-02 -5.387307e-02 -2.352181e-02
10-11 -9.672099e-02 5.348569e-02 -1.514474e-01 -1.235277e-01
10-11 -1.164458e-01 5.468308e-02 -1.197494e-01 -9.500621e-04
10-11 -1.049153e-01 5.192347e-02 -5.931137e-02 5.430338e-03
10-11 -1.052311e-01 4.685574e-02 2.376476e-02 -1.184361e-01
10-11 -1.036897e-01 4.626178e-02 4.420909e-03 -2.229112e-02
10-11 -2.978924e-02 5.569425e-02 2.831040e-02 1.004971e-01
10-11 -7.271040e-02 5.861157e-02 -8.885871e-02 -7.957587e-02
11-12 -1.023417e-01 3.891655e-02 2.284541e-02 6.100227e-04
11-12 -9.915601e-02 3.973005e-02 -8.411808e-03 2.254088e-02
11-12 -9.903744e-02 4.775875e-02 5.799209e-02 -4.823257e-02
11-12 -7.472604e-02 5.183752e-02 1.713092e-01 1.975117e-02
11-12 -1.052131e-01 4.976340e-02 6.314475e-02 7.357396e-02
11-12 -1.027519e-01 4.979501e-02 6.870496e-02 2.697152e-02
11-12 -5.131538e-02 5.685636e-02 3.073261e-01 -7.504539e-02
11-12 -4.584678e-02 5.723831e-02 3.285041e-01 -4.670333e-02
11-12 -3.340962e-02 6.595823e-02 2.529763e-01 -1.134701e-01
11-12 -4.939709e-02 7.116882e-02 1.870799e-01 -1.244529e-01
11-12 -1.215956e-01 7.188660e-02 -3.306972e-02 -7.570787e-02
11-12 -1.296851e-01 6.757403e-02 -5.226734e-02 2.111200e-02
11-12 -1.246406e-01 6.994973e-02 -1.212655e-01 -1.155116e-01
11-12 -1.123090e-01 6.383827e-02 -8.783045e-02 -8.863759e-02
11-12 -1.222475e-01 6.001020e-02 -6.245784e-02 -3.682279e-02
11-12 -1.286102e-01 5.533993e-02 -5.919883e-02 4.860314e-03
11-12 -1.160732e-01 5.574990e-02 -9.272391e-03 -1.379087e-02
11-12 -1.084858e-01 5.900678e-02 1.963455e-02 3.200222e-04
11-12 -1.185767e-01 6.910693e-02 -9.259667e-02 -8.600799e-02
11-12 -1.157490e-01 6.914952e-02 -1.583824e-01 -1.023998e-01
11-12 -3.632252e-02 6.290755e-02 1.857456e-01 -8.817712e-02
11-12 -1.174880e-01 6.565802e-02 -6.501899e-04 -1.302109e-01
11-12 -1.258176e-01 6.986302e-02 -2.206752e-02 -9.276849e-02
11-12 -1.209447e-01 7.435608e-02 -2.157662e-02 -4.131423e-02
11-12 -1.112664e-01 7.505268e-02 7.085775e-02 -5.924642e-02
11-12 -1.196856e-01 7.236273e-02 5.608640e-02 -1.024201e-01
11-12 -1.250686e-01 7.066435e-02 1.690543e-03 4.789445e-02
11-12 -1.224380e-01 7.079231e-02 8.999741e-02 1.050896e-01
11-12 -1.180925e-01 6.347733e-02 1.849811e-01 6.176463e-02
